cd_code;cd_codeext;cd_etiquet;cd_cd_code;cd_r1_code;cd_r2_code;cd_r3_code;cd_r4_code;cd_prop;cd_gest;cd_user;cd_proptyp;cd_statut;cd_etat;cd_dateaig;cd_dateman;cd_datemes;cd_avct;cd_type;cd_dia_int;cd_dia_ext;cd_color;cd_long;cd_nbcable;cd_occup;cd_comment;cd_creadat;cd_majdate;cd_majsrc;cd_abddate;cd_abdsrc
9270223;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;19,61580791900;;;;15/02/2024;;;;
9270224;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;33,44696486620;;;;15/02/2024;;;;
9270225;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;27,61183296560;;;;15/02/2024;;;;
9136704;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;97,47084964780;;;;23/02/2024;;;;
9292864;;;;SFR_COLL;DSP MAJ - IRISE;T092;2021;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;10,30905451020;;;;25/03/2024;;;;
9292865;;;;SFR_COLL;DSP MAJ - IRISE;T092;2021;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;31,25375755630;;;;25/03/2024;;;;
9292866;;;;SFR_COLL;DSP MAJ - IRISE;T092;2021;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;6,64691166303;;;;25/03/2024;;;;
9292867;;;;SFR_COLL;DSP MAJ - IRISE;T092;2021;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;50,41716570250;;;;25/03/2024;;;;
9292868;;;;SFR_COLL;DSP MAJ - IRISE;T092;2021;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;92,57400961160;;;;25/03/2024;;;;
9292869;;;;SFR_COLL;DSP MAJ - IRISE;T092;2021;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;153,18972094100;;;;25/03/2024;;;;
9292870;;;;SFR_COLL;DSP MAJ - IRISE;T092;2021;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;11,61538478050;;;;25/03/2024;;;;
9293495;;;;SFR_COLL;DSP MAJ - IRISE;T092;2021;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;23,64964214510;;;;25/03/2024;;;;
9075257;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;48,24268671790;;;;01/02/2024;;;;
9090937;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;6,27445862844;;;;09/02/2024;;;;
9080696;;;;SFR_COLL;DSP MAJ - IRISE;T093;2021;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;54,49314208930;;;;08/02/2024;;;;
9246143;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;66,03759712210;;;;21/03/2024;;;;
9214148;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;42,61782209830;;;;13/03/2024;;;;
9278143;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;58,08976433740;;;;15/02/2024;;;;
9292861;;;;SFR_COLL;DSP MAJ - IRISE;T092;2021;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;43,12707749620;;;;25/03/2024;;;;
9292862;;;;SFR_COLL;DSP MAJ - IRISE;T092;2021;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;12,79056879110;;;;25/03/2024;;;;
9292863;;;;SFR_COLL;DSP MAJ - IRISE;T092;2021;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;55,68500081900;;;;25/03/2024;;;;
9214144;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;70,16548673490;;;;13/03/2024;;;;
9214145;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;57,95301069690;;;;13/03/2024;;;;
9214146;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;45,09877235580;;;;13/03/2024;;;;
9278144;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;14,23782837370;;;;15/02/2024;;;;
9072058;;;;SFR_COLL;DSP MAJ - IRISE;T092;2022;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;76,95867788830;;;;06/02/2024;;;;
9072059;;;;SFR_COLL;DSP MAJ - IRISE;T092;2022;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;65,39551144380;;;;06/02/2024;;;;
9073336;;;;SFR_COLL;DSP MAJ - IRISE;T092;2022;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;48,26232973820;;;;06/02/2024;;;;
9073340;;;;SFR_COLL;DSP MAJ - IRISE;T092;2022;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;36,56962948950;;;;06/02/2024;;;;
9208705;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;45,12253661020;;;;11/03/2024;;;;
9096383;;;;SFR_COLL;DSP MAJ - IRISE;T094;2021;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;304,88971076500;;;;12/02/2024;;;;
9208695;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;44,72977063650;;;;11/03/2024;;;;
9208696;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;58,31291950460;;;;11/03/2024;;;;
9208699;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;42,73734807490;;;;11/03/2024;;;;
9208704;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;49,30459853960;;;;11/03/2024;;;;
9250308;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;34,97972101200;;;;26/03/2024;;;;
