rf_code;rf_type;rf_fabric;rf_design;rf_etat;rf_comment;rf_creadat;rf_majdate;rf_majsrc;rf_abddate;rf_abdsrc
RF49;CA;OR244;36Fo - Modulo [12] - RFF - G652;;;;;;;
RF50;CA;OR244;36Fo - Modulo [12] - ldcom - G652;;;;;;;
RF51;CA;OR16;288 - 24@12 - Ldcom||LD-0 - G652;;;;;;;
RF52;CA;OR239;SP1094 - 72Fo - Modulo [12] - ldcom - G652D;;;;;;;
RF53;CA;OR268;72 - 6@12 - Ldcom - G652;;;;;;;
RF54;CA;OR16;12 - 6@2 - Ldcom - INDETERMINE;;;;;;;
RF55;CA;OR239;SP1105 - 72Fo - Modulo [6] - ldcom - G652D;;;;;;;
RF56;CA;OR16;144 - 12@12 - Ldcom - MIXTE;;;;;;;
RF57;CA;OR244;12Fo - Modulo [12] - ldcom - G652;;;;;;;
RF58;CA;OR268;24 - 4@6 - Ldcom - G652;;;;;;;
RF59;CA;OR16;48 - 4@12 - FT - G652;;;;;;;
RF60;CA;OR244;48Fo - Modulo [6] - ldcom - G652;;;;;;;
RF61;CA;OR244;48Fo - Modulo [12] - FT - G657;;;;;;;
RF62;CA;OR16;60 - 5@12 - FT-2 - G652;;;;;;;
RF63;CA;OR16;12 - 1@12 - Ldcom||SNCF - G652;;;;;;;
RF64;CA;OR244;36Fo - Modulo [6] - RFF - G652;;;;;;;
RF65;CA;OR239;SP1089 - 12Fo - Modulo [6] - ldcom - G657A;;;;;;;
RF66;CA;OR246;Generique FT - 12 - FT Color Schema Modulo 6 - 2@6;;;;;;;
RF67;CA;OR16;24 - 2@12 - FT - G652;;;;;;;
RF68;CA;OR16;48 - 8@6 - Ldcom - G652;;;;;;;
RF69;CA;OR271;CCU1580 - 48Fo - Modulo [12] - ldcom - G652D;;;;;;;
RF70;CA;OR16;12 - 2@6 - FT - G652;;;;;;;
RF71;CA;OR16;24 - 12@2 - FT - G652;;;;;;;
RF72;CA;OR271;CCU1580 - 12Fo - Modulo [12] - ldcom - G652D;;;;;;;
RF73;CA;OR16;12 - 6@2 - FT - INDETERMINE;;;;;;;
RF74;CA;OR16;144 - 12@12 - Ldcom||FT - G652;;;;;;;
RF75;CA;OR16;72 - 6@12 - SNCF||Ldcom - G652;;;;;;;
RF76;CA;OR16;36 - 3@12 - SNCF||FT - G652;;;;;;;
RF77;CA;OR244;288Fo - Modulo [12] - ldcom liseré - G652;;;;;;;
RF78;CA;OR244;72Fo - Modulo [12] - FT - G652;;;;;;;
RF79;CA;OR16;24 - 4@6 - FT - G652;;;;;;;
RF80;CA;OR16;48 - 8@6 - Ldcom - INDETERMINE;;;;;;;
RF81;CA;OR239;SP1581 - 72Fo - Modulo [4] - FT sur 12 fibres - G657A;;;;;;;
RF82;CA;OR16;72 - 6@12 - KPT-2 - G652;;;;;;;
RF83;CA;OR239;SP1094 - 48Fo - Modulo [12] - ldcom - G652D;;;;;;;
RF84;CA;OR239;SP1373 - 72Fo - extractible Modulo [6] - ldcom - G652D;;;;;;;
RF85;CA;OR271;CCU1580 - 72Fo - Modulo [12] - FT - G652D;;;;;;;
RF86;CA;OR239;SP034 - 288Fo - Modulo [24] - ldcom G652D;;;;;;;
RF87;CA;OR239;SP1375 - 24Fo - Modulo [6] - ldcom - G657A;;;;;;;
RF88;CA;OR239;SP1103 - 36Fo - Modulo [6] - ldcom - G652D;;;;;;;
RF89;CA;OR16;48 - 8@6 - FT - G652;;;;;;;
RF90;CA;OR16;144 - 12@12 - FT - MIXTE;;;;;;;
RF91;CA;OR16;12 - 1@12 - FT||Marron - G652;;;;;;;
RF92;CA;OR269;144 - 12@12 - Ldcom - MIXTE;;;;;;;
RF93;CA;OR244;144Fo - Modulo [12] - FT - G652;;;;;;;
RF94;CA;OR244;72Fo - Modulo [12] - FT - G657;;;;;;;
RF95;CA;OR16;48 - 6@8 - Ldcom - G652;;;;;;;
RF96;CA;OR16;12 - 6@2 - FT - G652;;;;;;;
RF97;CA;OR16;72- 6@12 - Ldcom - G652;;;;;;;
RF98;CA;OR16;48 - 12@4 - FT - MIXTE;;;;;;;
RF99;CA;OR16;12 - 1@12 - FT-6||Jaune - G652;;;;;;;
RF100;CA;OR246;Generique FT - 24- FT Color Schema Modulo 6 - 4@6;;;;;;;
RF101;CA;OR16;36 - 6@6 - SNCF||FT - G652;;;;;;;
RF102;CA;OR271;N9650A - 24FO - Modulo [6] - FT - G657ASFR;;;;;;;
RF103;CA;OR271;CCU1580 - 72Fo - Modulo [12] - ldcom - G652D;;;;;;;
RF104;CA;OR16;144- 12@12 - Ldcom - G652;;;;;;;
RF105;CA;OR271;UNC1634 - 24Fo - Modulo [12] - ldcom - G652D;;;;;;;
RF106;CA;OR292;817A72DNGS - 72Fo - Modulo [12] - FT - G652D;;;;;;;
RF107;CA;OR16;288 - 24@12 - LD-3 - G652;;;;;;;
RF108;CA;OR270;NT6289 - 144Fo - Modulo [12] - FT - G652D;;;;;;;
