ti_code;ti_codeext;ti_etiquet;ti_ba_code;ti_prop;ti_etat;ti_type;ti_rf_code;ti_taille;ti_placemt;ti_localis;ti_comment;ti_creadat;ti_majdate;ti_majsrc;ti_abddate;ti_abdsrc
2811315;2811315;TI-FR-000002Y6-027 - GZA 025-036;3005379;OR21;;TIROIR;RF194;1;27;;;25/02/2003 00:00;;;;
2813041;2813041;TI-FR-00000307-009 - AD 145-156;3005805;OR21;;TIROIR;RF194;1;9;;;20/11/2002 00:00;;;;
2821932;2821932;AA 061-072;3008204;OR21;;TIROIR;RF194;1;6;;;17/01/2006 00:00;;;;
2811304;2811304;BO-000002Y6-TIROIR 24- AE 037-048;3005379;OR21;;TIROIR;RF194;1;4;;;02/12/2002 00:00;;;;
2821933;2821933;AB 001-012;3008204;OR21;;TIROIR;RF194;1;7;;;17/01/2006 00:00;;;;
2821936;2821936;AB 037-048;3008204;OR21;;TIROIR;RF194;1;10;;;17/01/2006 00:00;;;;
2844286;2844286;TI-FR-00000337-CABLE 02-144 - AB 133-144;3019589;OR21;;TIROIR;RF194;1;24;;;02/04/2003 00:00;;;;
2811314;2811314;TI-FR-000002Y6-026 - GZA 013-024;3005379;OR21;;TIROIR;RF194;1;26;;;25/02/2003 00:00;;;;
2811838;2811838;AK 073-084;3005464;OR21;;TIROIR;RF194;1;12;;;30/11/2007 00:00;;;;
2811308;2811308;BO-000002Y6-TIROIR 20- AD 013-024;3005379;OR21;;TIROIR;RF194;1;8;;;02/12/2002 00:00;;;;
2821931;2821931;AA 049-060;3008204;OR21;;TIROIR;RF194;1;5;;;17/01/2006 00:00;;;;
2830473;2830473;AA 025-036;3012262;OR21;;TIROIR;RF194;1;3;;;12/06/2007 00:00;;;;
2813036;2813036;TI-FR-00000307-AG 121-132;3005805;OR21;;TIROIR;RF194;1;28;;;26/10/2004 00:00;;;;
2811146;2811146;BO-000002Y6-TIROIR 09- AC 037-048;3005379;OR21;;TIROIR;RF194;1;16;;;24/07/2002 00:00;;;;
2811833;2811833;AK 013-024;3005464;OR21;;TIROIR;RF194;1;7;;;30/11/2007 00:00;;;;
2811238;2811238;BO-0000043Y-TIROIR 02- AL 013-024;3005372;OR21;;TIROIR;RF194;1;1;;;19/10/2011 00:00;;;;
2855421;2855421;BA 001-012;3023431;OR21;;TIROIR;RF194;1;1;;;30/06/2009 00:00;;;;
2813026;2813026;TI-FR-00000307-AG 001-012;3005805;OR21;;TIROIR;RF194;1;18;;;26/10/2004 00:00;;;;
2830480;2830480;AB 037-048;3012262;OR21;;TIROIR;RF194;1;16;;;12/06/2007 00:00;;;;
2815402;2815402;IA 073-084;3006269;OR21;;TIROIR;RF194;1;7;;;30/05/2008 00:00;;;;
2811841;2811841;AK 109-120;3005464;OR21;;TIROIR;RF194;1;15;;;30/11/2007 00:00;;;;
