cs_code;cs_nb_pas;cs_bp_code;cs_num;cs_type;cs_face;cs_rf_code;cs_comment;cs_creadat;cs_majdate;cs_majsrc;cs_abddate;cs_abdsrc
13282333;;11544195;;E;;RF192;;14/08/2019 00:00;;;;
13282705;;11544194;;E;;RF192;;14/08/2019 00:00;;;;
13519150;;11678583;;E;;RF192;;09/09/2019 00:00;;;;
13613538;;11739080;;E;;RF192;;17/09/2019 00:00;;;;
13655101;;3290369;;E;;RF192;;19/09/2019 00:00;;;;
13705016;;11793169;;E;;RF192;;24/09/2019 00:00;;;;
14482937;;12171718;;E;;RF192;;26/11/2019 00:00;;;;
14486040;;12175857;;E;;RF192;;26/11/2019 00:00;;;;
14611980;;12234755;;E;;RF192;;05/12/2019 00:00;;;;
14613051;;12234758;;E;;RF192;;05/12/2019 00:00;;;;
14620559;;12237647;;E;;RF192;;06/12/2019 00:00;;;;
