rt_id;rt_code;rt_code_ext;rt_fo_code;rt_fo_ordr;rt_comment;rt_creadat;rt_majdate;rt_majsrc;rt_abddate;rt_abdsrc
309;233158;;FO000000034289;11;;05/07/2023 00:00;;;;
310;233158;;FO000000097205;12;;05/07/2023 00:00;;;;
311;233158;;FO000000084617;13;;05/07/2023 00:00;;;;
312;233158;;FO000000070793;14;;05/07/2023 00:00;;;;
313;233158;;FO000000042329;15;;05/07/2023 00:00;;;;
314;233158;;FO000000023573;16;;05/07/2023 00:00;;;;
315;233158;;FO000000113971;17;;05/07/2023 00:00;;;;
316;233158;;FO000000050441;18;;05/07/2023 00:00;;;;
317;233158;;FO000000050849;19;;05/07/2023 00:00;;;;
318;233158;;FO000000127993;20;;05/07/2023 00:00;;;;
319;233158;;FO000000127975;21;;05/07/2023 00:00;;;;
320;237678;;FO000000107476;1;;05/07/2023 00:00;;;;
321;240248;;FO000000013442;2;;05/07/2023 00:00;;;;
322;240248;;FO000000121050;3;;05/07/2023 00:00;;;;
323;241734;;FO000000131303;3;;05/07/2023 00:00;;;;
324;241734;;FO000000130875;4;;05/07/2023 00:00;;;;
325;241734;;FO000000130731;5;;05/07/2023 00:00;;;;
326;241734;;FO000000130587;6;;05/07/2023 00:00;;;;
327;241734;;FO000000123789;7;;05/07/2023 00:00;;;;
328;243041;;FO000000052307;1;;05/07/2023 00:00;;;;
329;243041;;FO000000052355;2;;05/07/2023 00:00;;;;
330;243580;;FO000000239686;1;;05/07/2023 00:00;;;;
331;243580;;FO000000239542;2;;05/07/2023 00:00;;;;
332;243580;;FO000000274045;3;;05/07/2023 00:00;;;;
333;243580;;FO000000274189;4;;05/07/2023 00:00;;;;
334;243744;;FO000000063216;4;;05/07/2023 00:00;;;;
335;243744;;FO000000091314;5;;05/07/2023 00:00;;;;
336;246850;;FO000000179077;1;;05/07/2023 00:00;;;;
337;246850;;FO000000179221;2;;05/07/2023 00:00;;;;
338;246850;;FO000000179365;3;;05/07/2023 00:00;;;;
339;246850;;FO000000179509;4;;05/07/2023 00:00;;;;
340;246850;;FO000000179653;5;;05/07/2023 00:00;;;;
341;246850;;FO000000179797;6;;05/07/2023 00:00;;;;
342;246850;;FO000000179941;7;;05/07/2023 00:00;;;;
343;250906;;FO000000198017;1;;05/07/2023 00:00;;;;
344;251946;;FO000000174802;1;;05/07/2023 00:00;;;;
345;251946;;FO000000174658;2;;05/07/2023 00:00;;;;
346;251946;;FO000000174514;3;;05/07/2023 00:00;;;;
347;251946;;FO000000174370;4;;05/07/2023 00:00;;;;
348;251946;;FO000000174226;5;;05/07/2023 00:00;;;;
349;255970;;FO000000140010;1;;05/07/2023 00:00;;;;
350;265573;;FO000000089482;1;;05/07/2023 00:00;;;;
351;267039;;FO000000069179;1;;05/07/2023 00:00;;;;
352;267039;;FO000000069251;2;;05/07/2023 00:00;;;;
353;267039;;FO000000069323;3;;05/07/2023 00:00;;;;
354;267152;;FO000000148023;1;;05/07/2023 00:00;;;;
355;267152;;FO000000147879;2;;05/07/2023 00:00;;;;
356;269338;;FO000000198258;1;;05/07/2023 00:00;;;;
357;270072;;FO000000177077;1;;05/07/2023 00:00;;;;
358;270072;;FO000000176933;2;;05/07/2023 00:00;;;;
359;270072;;FO000000177365;3;;05/07/2023 00:00;;;;
360;270072;;FO000000176789;4;;05/07/2023 00:00;;;;
361;270072;;FO000000176645;5;;05/07/2023 00:00;;;;
362;270072;;FO000000176501;6;;05/07/2023 00:00;;;;
363;271348;;FO000000086243;1;;05/07/2023 00:00;;;;
364;271348;;FO000000275105;2;;05/07/2023 00:00;;;;
365;272499;;FO000000220735;1;;05/07/2023 00:00;;;;
366;273713;;FO000000143215;1;;05/07/2023 00:00;;;;
367;281381;;FO000000268479;1;;05/07/2023 00:00;;;;
368;285536;;FO000000033183;1;;05/07/2023 00:00;;;;
369;285536;;FO000000033039;2;;05/07/2023 00:00;;;;
370;288891;;FO000000190294;1;;05/07/2023 00:00;;;;
371;288891;;FO000000223693;2;;05/07/2023 00:00;;;;
372;289162;;FO000000111708;1;;05/07/2023 00:00;;;;
373;289162;;FO000000124308;2;;05/07/2023 00:00;;;;
374;289162;;FO000000110844;3;;05/07/2023 00:00;;;;
375;297148;;FO000000261160;1;;05/07/2023 00:00;;;;
376;297148;;FO000000240172;2;;05/07/2023 00:00;;;;
377;297148;;FO000000240316;3;;05/07/2023 00:00;;;;
378;297148;;FO000000240460;4;;05/07/2023 00:00;;;;
379;297148;;FO000000240604;5;;05/07/2023 00:00;;;;
380;297148;;FO000000240748;6;;05/07/2023 00:00;;;;
381;297148;;FO000000240892;7;;05/07/2023 00:00;;;;
382;297148;;FO000000241036;8;;05/07/2023 00:00;;;;
383;297148;;FO000000241756;9;;05/07/2023 00:00;;;;
384;297148;;FO000000240028;10;;05/07/2023 00:00;;;;
385;302371;;FO000000159344;1;;05/07/2023 00:00;;;;
386;302371;;FO000000159488;2;;05/07/2023 00:00;;;;
387;308320;;FO000000188632;1;;05/07/2023 00:00;;;;
388;308398;;FO000000090048;25;;05/07/2023 00:00;;;;
389;308398;;FO000000109062;26;;05/07/2023 00:00;;;;
390;308398;;FO000000109182;27;;05/07/2023 00:00;;;;
391;308398;;FO000000155972;28;;05/07/2023 00:00;;;;
392;308398;;FO000000155960;29;;05/07/2023 00:00;;;;
393;312564;;FO000000043131;4;;05/07/2023 00:00;;;;
394;312564;;FO000000015759;5;;05/07/2023 00:00;;;;
395;312564;;FO000000006577;6;;05/07/2023 00:00;;;;
396;312564;;FO000000043275;7;;05/07/2023 00:00;;;;
397;312564;;FO000000043203;8;;05/07/2023 00:00;;;;
398;312564;;FO000000021699;9;;05/07/2023 00:00;;;;
399;312564;;FO000000056395;10;;05/07/2023 00:00;;;;
400;314286;;FO000000218684;4;;05/07/2023 00:00;;;;
401;314286;;FO000000218828;5;;05/07/2023 00:00;;;;
402;314286;;FO000000164945;6;;05/07/2023 00:00;;;;
403;314286;;FO000000165089;7;;05/07/2023 00:00;;;;
404;314286;;FO000000165233;8;;05/07/2023 00:00;;;;
405;314286;;FO000000165377;9;;05/07/2023 00:00;;;;
406;331862;;FO000000148147;3;;05/07/2023 00:00;;;;
407;331862;;FO000000148111;4;;05/07/2023 00:00;;;;
408;335475;;FO000000147035;3;;05/07/2023 00:00;;;;
409;335561;;FO000000189667;3;;05/07/2023 00:00;;;;
410;339956;;FO000000156654;12;;05/07/2023 00:00;;;;
411;339956;;FO000000156798;13;;05/07/2023 00:00;;;;
412;339956;;FO000000156942;14;;05/07/2023 00:00;;;;
413;339956;;FO000000157230;15;;05/07/2023 00:00;;;;
414;339956;;FO000000227518;16;;05/07/2023 00:00;;;;
415;339956;;FO000000157086;17;;05/07/2023 00:00;;;;
416;344367;;FO000000033520;1;;05/07/2023 00:00;;;;
417;344367;;FO000000225999;2;;05/07/2023 00:00;;;;
418;346170;;FO000000248059;1;;05/07/2023 00:00;;;;
419;346170;;FO000000248203;2;;05/07/2023 00:00;;;;
420;346170;;FO000000248347;3;;05/07/2023 00:00;;;;
421;346170;;FO000000248491;4;;05/07/2023 00:00;;;;
422;349410;;FO000000247358;1;;05/07/2023 00:00;;;;
423;353745;;FO000000118345;1;;05/07/2023 00:00;;;;
424;355415;;FO000000022251;1;;05/07/2023 00:00;;;;
425;355415;;FO000000019599;2;;05/07/2023 00:00;;;;
426;355415;;FO000000117125;3;;05/07/2023 00:00;;;;
427;355415;;FO000000007885;4;;05/07/2023 00:00;;;;
428;356156;;FO000000078135;1;;05/07/2023 00:00;;;;
429;356156;;FO000000161147;2;;05/07/2023 00:00;;;;
430;361689;;FO000000103224;1;;05/07/2023 00:00;;;;
431;361689;;FO000000103368;2;;05/07/2023 00:00;;;;
432;364859;;FO000000225977;1;;05/07/2023 00:00;;;;
433;368377;;FO000000031777;1;;05/07/2023 00:00;;;;
434;368377;;FO000000092605;2;;05/07/2023 00:00;;;;
435;368377;;FO000000075061;3;;05/07/2023 00:00;;;;
436;368558;;FO000000201701;1;;05/07/2023 00:00;;;;
437;368732;;FO000000182409;1;;05/07/2023 00:00;;;;
438;368732;;FO000000206493;2;;05/07/2023 00:00;;;;
439;368732;;FO000000182025;3;;05/07/2023 00:00;;;;
440;369315;;FO000000115723;1;;05/07/2023 00:00;;;;
