bp_code;bp_etiquet;bp_codeext;bp_pt_code;bp_sf_code;bp_prop;bp_gest;bp_user;bp_proptyp;bp_statut;bp_etat;bp_occp;bp_datemes;bp_avct;bp_typephy;bp_typelog;bp_rf_code;bp_entrees;bp_ref_kit;bp_ca_nb;bp_nb_pas;bp_linecod;bp_oc_code;bp_racco;bp_comment;bp_creadat;bp_majdate;bp_majsrc;bp_abddate;bp_abdsrc
3288088;IRS - BAUER - MONET - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;09/04/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33777793E48.91056428N;09/04/2009;;;;
3288094;IRS-19 RUE DIEUMEGARD ST OUEN - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;01/09/2006;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33787331E48.90709527N;01/09/2006;;;;
3288103;PLACE CAMILLE BLANC ( ARCUEIL) - BPE 1;TERRITOIRE;174629;;OR21;OR1;OR21;CST;MCO;OK;1.1;23/01/2012;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 2.33789629748.812697527;23/01/2012;;;;
3288105;BI PLACE CAMILLE BLANC(ARCUEIL) - BPE 1;TERRITOIRE;174629;;OR21;OR1;OR21;CST;MCO;OK;1.1;23/01/2012;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33815753E48.81226883N;23/01/2012;;;;
3288122;IRS - BI TOURNELLES_3 (D44) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33868707E48.77843834N;20/07/2009;;;;
3288137;IRS N-1 RELAIS MAIRIE - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;13/10/2010;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33864982E48.77117277N;13/10/2010;;;;
3288140;IRS - FOYER JEAN MERMOZ (D63) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33906764E48.77330616N;20/07/2009;;;;
3288145;IRS - BI JARDINS_DISPAN (D12) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33917669E48.77915738N;20/07/2009;;;;
3288146;IRS - BI SECHOIR_AUX_CORNETTES (D90) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33921736E48.77619133N;20/07/2009;;;;
3288165;IRS- MARRONNIERS-HELBRONNER ST OUEN - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;01/09/2006;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33968678E48.91125625N;01/09/2006;;;;
