sf_code;sf_nd_code;sf_ad_code;sf_zp_code;sf_escal;sf_etage;sf_oper;sf_type;sf_prop;sf_resid;sf_local;sf_racco;sf_comment;sf_creadat;sf_majdate;sf_majsrc;sf_abddate;sf_abdsrc
24548722;24548722;24548722;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/08/2022;;;;
24586161;24586161;24586161;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;22/08/2022;;;;
24671281;24671281;24671281;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;30/08/2022;;;;
24703282;24703282;24703282;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;01/09/2022;;;;
24706161;24706161;24706161;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;01/09/2022;;;;
26229068;26229068;26229068;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/12/2022;;;;
29747762;29747762;29747762;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/09/2023;;;;
29832881;29832881;29832881;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;09/10/2023;;;;
29923441;29923441;29923441;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/10/2023;;;;
30093689;30093689;30093689;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/11/2023;;;;
30617851;30617851;30617851;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;23/12/2023;;;;
31946161;31946161;31946161;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/05/2024;;;;
3461398;3461398;3461398;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;09/09/2002;;;;
3461685;3461685;3461685;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;30/01/2008;;;;
3461687;3461687;3461687;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/02/2012;;;;
3461727;3461727;3461727;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;09/03/2009;;;;
3461744;3461744;3461744;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;04/05/2005;;;;
3461858;3461858;3461858;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;11/09/2002;;;;
3461951;3461951;3461951;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;24/10/2005;;;;
3462463;3462463;3462463;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/03/2010;;;;
3462936;3462936;3462936;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/11/2005;;;;
3463075;3463075;3463075;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;20/03/2007;;;;
3463105;3463105;3463105;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;14/02/2008;;;;
3463183;3463183;3463183;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;08/08/2003;;;;
3463223;3463223;3463223;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;26/01/2011;;;;
3463251;3463251;3463251;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;26/01/2011;;;;
3463265;3463265;3463265;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;04/05/2004;;;;
3463275;3463275;3463275;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;07/07/2005;;;;
3463317;3463317;3463317;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;07/07/2005;;;;
3463320;3463320;3463320;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;07/07/2005;;;;
3463401;3463401;3463401;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/10/2010;;;;
3463416;3463416;3463416;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;09/04/2009;;;;
3463461;3463461;3463461;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;27/01/2003;;;;
3463488;3463488;3463488;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/11/2010;;;;
3463686;3463686;3463686;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;30/03/2011;;;;
3463707;3463707;3463707;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;23/08/2004;;;;
3464131;3464131;3464131;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;25/05/2007;;;;
3464147;3464147;3464147;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;25/03/2010;;;;
3464168;3464168;3464168;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;22/10/2007;;;;
3464239;3464239;3464239;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/10/2007;;;;
3464269;3464269;3464269;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;14/04/2004;;;;
3464311;3464311;3464311;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/11/2006;;;;
3464333;3464333;3464333;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;30/10/2008;;;;
3464346;3464346;3464346;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;31/10/2006;;;;
3464351;3464351;3464351;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;15/09/2011;;;;
3464382;3464382;3464382;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;01/06/2011;;;;
3464384;3464384;3464384;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;11/06/2008;;;;
3464385;3464385;3464385;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;26/11/2003;;;;
3464403;3464403;3464403;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;27/05/2004;;;;
3464434;3464434;3464434;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;30/10/2008;;;;
3464463;3464463;3464463;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;20/07/2006;;;;
3464553;3464553;3464553;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/07/2004;;;;
3464555;3464555;3464555;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/07/2005;;;;
3464626;3464626;3464626;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;09/12/2004;;;;
3464881;3464881;3464881;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/03/2005;;;;
3464896;3464896;3464896;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/01/2006;;;;
