do_code;do_ref;do_reftier;do_r1_code;do_r2_code;do_r3_code;do_r4_code;do_type;do_indice;do_date;do_classe;do_url1;do_url2;do_comment;do_creadat;do_majdate;do_majsrc;do_abddate;do_abdsrc
208;33539;9SI-3-T95-585-RT-50;;;;;200;;;;;;;;;;;
209;33540;9SI-3-T95-585-RT-51;;;;;200;;;;;;;;;;;
210;33541;9SI-3-T95-585-RT-53;;;;;200;;;;;;;;;;;
211;33585;LEV3_9SI-3-T95-127-RT-05;;;;;1000;;;;;;;;;;;
212;33586;LEV3_9SI-3-T95-127-RT-07;;;;;1000;;;;;;;;;;;
213;33587;LEV3_9SI-3-T95-127-RT-08;;;;;1000;;;;;;;;;;;
214;33629;PACC_9SI3T95127_Chemin1;;;;;200;;;;;;;;;;;
215;33542;9SI-3-T95-585-RT-56;;;;;200;;;;;;;;;;;
216;33543;9SI-3-T95-585-RT-57;;;;;200;;;;;;;;;;;
217;33630;PACC_9SI3T95127_Moulin 1;;;;;200;;;;;;;;;;;
218;33631;PACC_9SI3T95127_Terroir1;;;;;200;;;;;;;;;;;
219;33632;PACC_9SI3T95127_Terroir2;;;;;200;;;;;;;;;;;
220;33633;PACC_9SI3T95127_Genottes 1;;;;;200;;;;;;;;;;;
221;33675;9SI-3-T95-127-ZO-05;;;;;200;;;;;;;;;;;
222;33676;9SI-3-T95-127-ZO-01;;;;;200;;;;;;;;;;;
223;33606;LEV3_9SI-3-T95-127-RT-03;;;;;1000;;;;;;;;;;;
224;33607;PACC_9SI3T95127_Oise 10;;;;;200;;;;;;;;;;;
225;33677;9SI-3-T95-127-ZO-06;;;;;200;;;;;;;;;;;
226;33678;9SI-3-T95-127-RT-98;;;;;200;;;;;;;;;;;
227;33679;9SI-3-T94-081-RT-81;;;;;200;;;;;;;;;;;
228;33561;PACC_9SI3T95127_Aven1;;;;;200;;;;;;;;;;;
229;33562;PACC_9SI3T95127_Heaumiere 1;;;;;200;;;;;;;;;;;
230;34667;9SI-3-T93-070-ZO-30;;;;;200;;;;;;;;;;;
231;34668;9SI-3-T93-070-ZO-26;;;;;200;;;;;;;;;;;
232;34669;9SI-3-T93-070-RT-26;;;;;200;;;;;;;;;;;
233;34670;NUME_9SI-3-T94-058-RT-03;;;;;500;;;;;;;;;;;
234;34671;9SI-3-T94-058-ZO-03;;;;;200;;;;;;;;;;;
235;34698;9SI-3-T94-028-ZO-01;;;;;200;;;;;;;;;;;
236;34699;9SI-3-T94-028-RT-01;;;;;200;;;;;;;;;;;
237;34700;9SI-3-T94-028-RT-27;;;;;200;;;;;;;;;;;
238;34701;9SI-3-T94-016-ZO-50;;;;;200;;;;;;;;;;;
239;34702;9SI-3-T94-016-RT-56;;;;;200;;;;;;;;;;;
240;34725;9SI-3-T94-015-ZO-01;;;;;200;;;;;;;;;;;
241;34727;9SI-3-T93-070-ZO-31;;;;;200;;;;;;;;;;;
242;34728;9SI-3-T93-070-ZO-25;;;;;200;;;;;;;;;;;
243;34729;9SI-3-T93-070-ZO-27;;;;;200;;;;;;;;;;;
244;34730;9SI-3-T93-070-RT-29;;;;;200;;;;;;;;;;;
245;34741;9SI-3-T94-028-ZO-32;;;;;200;;;;;;;;;;;
246;34742;9SI-3-T94-028-RT-40;;;;;200;;;;;;;;;;;
247;34743;9SI-3-T94-015-RT-55;;;;;200;;;;;;;;;;;
248;34744;9SI-3-T94-015-RT-53;;;;;200;;;;;;;;;;;
249;34745;9SI-3-T94-015-RT-51;;;;;200;;;;;;;;;;;
250;34746;LEV3_9SI-3-T94-015-RT-02;;;;;1000;;;;;;;;;;;
251;34747;9SI-3-T94-011-RT-42;;;;;200;;;;;;;;;;;
252;34748;9SI-3-T94-081-ZO-13;;;;;200;;;;;;;;;;;
253;34749;9SI-3-T94-081-ZO-17;;;;;200;;;;;;;;;;;
254;34750;9SI-3-T94-081-IM-53;;;;;500;;;;;;;;;;;
255;34838;9SI-3-T93-071-RT-25;;;;;200;;;;;;;;;;;
256;34839;9SI-3-T92-050-RT-82;;;;;200;;;;;;;;;;;
257;34840;9SI-3-T92-050-RT-80;;;;;200;;;;;;;;;;;
258;34841;9SI-3-T92-050-RT-79;;;;;200;;;;;;;;;;;
259;34842;9SI-3-T92-050-RT-78;;;;;200;;;;;;;;;;;
260;34888;LEV3_9SI-3-T95-218-RT-01;;;;;1000;;;;;;;;;;;
261;34889;LDKC_9SI-3-T92-023-RT-72;;;;;200;;;;;;;;;;;
262;34890;LDKC_9SI-3-T92-023-RT-57;;;;;200;;;;;;;;;;;
263;34891;LDKC_9SI-3-T92-023-RT-51;;;;;200;;;;;;;;;;;
264;34892;LDKC_9SI-3-T92-023-RT-52;;;;;200;;;;;;;;;;;
265;34751;9SI-3-T94-081-RT-51;;;;;200;;;;;;;;;;;
266;34752;9SI-3-T94-081-RT-53;;;;;500;;;;;;;;;;;
267;34753;NUME_9SI-3-T94-043-RT-04;;;;;500;;;;;;;;;;;
268;34754;NUME_9SI-3-T94-043-RT-02;;;;;500;;;;;;;;;;;
269;34755;LEV3_9SI-3-T94-042-RT-01;;;;;1000;;;;;;;;;;;
270;34791;9SI-3-T94-080-ZO-02;;;;;200;;;;;;;;;;;
271;34792;9SI-3-T94-080-ZO-04;;;;;200;;;;;;;;;;;
272;34793;9SI-3-T94-042-RT-27;;;;;200;;;;;;;;;;;
273;34794;9SI-3-T94-042-RT-25;;;;;200;;;;;;;;;;;
274;34795;9SI-3-T94-042-ZO-07;;;;;200;;;;;;;;;;;
275;34893;9SI-3-T95-612-RT-51;;;;;200;;;;;;;;;;;
276;34894;9SI-3-T92-007-RT-67;;;;;200;;;;;;;;;;;
277;34895;9SI-3-T92-007-RT-68;;;;;200;;;;;;;;;;;
278;34896;9SI-3-T92-007-RT-60;;;;;200;;;;;;;;;;;
279;34897;9SI-3-T92-007-RT-51;;;;;200;;;;;;;;;;;
280;34898;9SI-3-T94-054-RT-50;;;;;200;;;;;;;;;;;
281;34899;LEV3_9SI-3-T77-258-RT-50;;;;;500;;;;;;;;;;;
282;34900;9SI-3-T77-258-RT-71;;;;;200;;;;;;;;;;;
283;34901;9SI-3-T77-258-RT-70;;;;;200;;;;;;;;;;;
284;34902;9SI-3-T77-258-ZO-51;;;;;200;;;;;;;;;;;
