cb_code;cb_codeext;cb_etiquet;cb_nd1;cb_nd2;cb_r1_code;cb_r2_code;cb_r3_code;cb_r4_code;cb_prop;cb_gest;cb_user;cb_proptyp;cb_statut;cb_etat;cb_dateins;cb_datemes;cb_avct;cb_tech;cb_typephy;cb_typelog;cb_rf_code;cb_capafo;cb_fo_disp;cb_fo_util;cb_modulo;cb_diam;cb_color;cb_lgreel;cb_localis;cb_comment;cb_creadat;cb_majdate;cb_majsrc;cb_abddate;cb_abdsrc
22606844;TERRITOIRE;IRS - 12FO - FT2074 - 14 AV DU PRESIDENT SALVADOR ALLENDE / POP MOZINOR MONTREUIL - AA;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;08/03/2021;08/03/2021;C;OPT;C;DI;RF27;12;8;4;2;;5;144,6336;;;08/03/2021;;;;
4622936;HORS TERRITOIRE;IRS - 48FO RD POINT BAS NOYER/N-1 SFR SANTEUIL;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;10/01/2008;10/01/2008;C;OPT;C;TR;RF19;48;11;37;4;;4;98,4221;;;10/01/2008;;;;
36651320;TERRITOIRE;IRS - 12FO - N-1 MAIRIE DE PIERREFITTE / POP MEDIATHEQUE FLORA TRISTAN - AA;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;10/02/2023;10/02/2023;C;OPT;C;DI;RF27;12;10;2;2;;5;438,6924;;;10/02/2023;;;;
37288737;TERRITOIRE;IRS - 12 FO - 52 AV GABRIEL PERI / POP MAISON DE LA JUSTICE LA COURNEUVE;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;15/03/2023;15/03/2023;C;OPT;C;DI;RF27;12;10;2;2;;5;332,8692;;;15/03/2023;;;;
17888077;TERRITOIRE;IRS - 144 FO - FT 297 - 3 RUE DU GENERAL CHANZY / IRS - FT 111 -  2 AVENUE WINSTON CHURCHILL;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;30/03/2020;30/03/2020;C;OPT;C;LH;RF22;144;144;0;12;;4;419,1241;;;30/03/2020;;;;
8433873;TERRITOIRE;144 FO - IRS - AVENUE DE LA VICTOIRE RD64 / IRS - 10 RUE DU VERGER;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;24/07/2014;24/07/2014;C;OPT;C;LH;RF22;144;136;8;12;;4;283,9722;;;24/07/2014;;;;
4603232;TERRITOIRE;IRS - 144FO - 28 AV LE NOTRE/AV CLAUDE PERRAULT - 144 CD FT;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;26/05/2003;26/05/2003;C;OPT;C;LH;RF74;144;89;55;12;;100;646,8021;;;26/05/2003;;;;
4619202;TERRITOIRE;IRS - 24 FO -  RUE DIEUMEGARD / LT CCO 4EME ETAGE - BAIE CCO - BC;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;14/09/2010;14/09/2010;C;OPT;C;DI;RF15;24;22;2;4;;4;84,4486;;;14/09/2010;;;;
4615269;TERRITOIRE;IRS - 22 AV RAYMON ARON/ARON BEAUSEJOUR ANTONY;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;16/07/2007;16/07/2007;C;OPT;C;TR;RF16;72;53;19;6;;4;320,6603;;;16/07/2007;;;;
4641935;TERRITOIRE;IRS - 24FO - LT MAIRIE CHEVILLY/BI MAIRIE CHEVILLY;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;27/02/2012;27/02/2012;C;OPT;C;DI;RF15;24;24;0;4;;4;10,6299;;;27/02/2012;;;;
