dm_cd_code;dm_cm_code;dm_creadat;dm_majdate;dm_majsrc;dm_abddate;dm_abdsrc
424938;558619;;;;;
424943;558624;;;;;
424944;558624;;;;;
424945;558626;;;;;
424946;558626;;;;;
424947;558626;;;;;
424948;558628;;;;;
424949;558630;;;;;
424950;558632;;;;;
424951;558632;;;;;
424952;558632;;;;;
424953;558633;;;;;
424954;558633;;;;;
424955;558634;;;;;
424956;558634;;;;;
424957;558635;;;;;
424968;558643;;;;;
424969;558643;;;;;
424970;558644;;;;;
424971;558645;;;;;
424972;558646;;;;;
424973;558646;;;;;
422942;565971;;;;;
422943;565971;;;;;
425452;558978;;;;;
425453;558978;;;;;
425454;558979;;;;;
425455;558979;;;;;
425456;558980;;;;;
425457;558981;;;;;
425458;558981;;;;;
425459;558981;;;;;
425460;558981;;;;;
425461;558982;;;;;
425462;558982;;;;;
425463;558982;;;;;
425464;558982;;;;;
425470;590412;;;;;
425471;590411;;;;;
425472;590410;;;;;
425473;558984;;;;;
425475;558986;;;;;
425476;558986;;;;;
425477;558987;;;;;
425478;558987;;;;;
425479;558988;;;;;
425480;558989;;;;;
425481;558990;;;;;
425482;558990;;;;;
425483;558991;;;;;
425484;558991;;;;;
425485;558991;;;;;
425486;558991;;;;;
425487;558992;;;;;
422944;565972;;;;;
422945;565972;;;;;
3350143;1968745;;;;;
424777;558609;;;;;
424778;558610;;;;;
424779;558610;;;;;
424780;558610;;;;;
424781;558612;;;;;
424782;558614;;;;;
424783;558614;;;;;
424784;558615;;;;;
424785;558616;;;;;
424454;555479;;;;;
424455;555479;;;;;
424456;555479;;;;;
422376;565899;;;;;
422377;565900;;;;;
422379;566016;;;;;
422380;566018;;;;;
422402;566032;;;;;
423068;567711;;;;;
425940;564199;;;;;
425941;564199;;;;;
425942;564200;;;;;
425943;564200;;;;;
425944;564200;;;;;
425945;564200;;;;;
425946;564201;;;;;
425947;564201;;;;;
425948;564201;;;;;
425949;564201;;;;;
426587;558747;;;;;
426588;558747;;;;;
426590;558749;;;;;
426599;558753;;;;;
426600;558753;;;;;
426601;558754;;;;;
426602;558756;;;;;
426603;558757;;;;;
426604;558758;;;;;
426606;558761;;;;;
426607;558763;;;;;
426608;558763;;;;;
426612;562372;;;;;
426613;562373;;;;;
426615;562375;;;;;
426616;562375;;;;;
426617;562376;;;;;
426618;562376;;;;;
426619;562376;;;;;
426620;562376;;;;;
426621;562376;;;;;
426622;562376;;;;;
426623;562376;;;;;
426626;562379;;;;;
426627;562379;;;;;
426628;562379;;;;;
426630;562381;;;;;
426631;562381;;;;;
426632;562381;;;;;
426633;562381;;;;;
427263;566413;;;;;
427264;566413;;;;;
427267;566418;;;;;
427268;566420;;;;;
425999;558857;;;;;
426000;558857;;;;;
426001;558858;;;;;
426002;558858;;;;;
426003;558858;;;;;
426004;558858;;;;;
426005;558859;;;;;
426006;558859;;;;;
426007;558860;;;;;
426008;558860;;;;;
426012;558867;;;;;
426016;558874;;;;;
426019;590234;;;;;
426020;590233;;;;;
426634;562382;;;;;
426635;562382;;;;;
426636;562382;;;;;
426637;562383;;;;;
426638;562383;;;;;
426639;562383;;;;;
426640;562384;;;;;
426641;562385;;;;;
426642;562385;;;;;
426643;562386;;;;;
426644;562386;;;;;
426645;562386;;;;;
426646;562386;;;;;
426658;564109;;;;;
426659;564110;;;;;
426660;564112;;;;;
426663;564115;;;;;
426664;564117;;;;;
426666;564119;;;;;
426667;564119;;;;;
426668;564121;;;;;
427321;558694;;;;;
427322;558694;;;;;
427323;558694;;;;;
427329;558696;;;;;
427330;558697;;;;;
427331;558698;;;;;
427332;558698;;;;;
427333;558698;;;;;
427334;558698;;;;;
427335;558698;;;;;
427344;558700;;;;;
427345;558700;;;;;
427346;558700;;;;;
427347;558700;;;;;
427348;558700;;;;;
427349;558700;;;;;
427350;558700;;;;;
427351;558700;;;;;
427352;558701;;;;;
427353;558701;;;;;
427354;558701;;;;;
427355;560877;;;;;
427356;560879;;;;;
426021;558878;;;;;
426022;558880;;;;;
426023;558880;;;;;
426024;558881;;;;;
426025;558881;;;;;
426026;558881;;;;;
426027;558883;;;;;
426028;558885;;;;;
426029;558886;;;;;
426030;558886;;;;;
426031;558886;;;;;
426032;558887;;;;;
426033;558887;;;;;
426034;558888;;;;;
426049;558903;;;;;
426050;559079;;;;;
426053;559082;;;;;
426054;559084;;;;;
426057;559088;;;;;
426058;559089;;;;;
426670;564124;;;;;
426671;564126;;;;;
426672;564128;;;;;
426682;564131;;;;;
426683;564133;;;;;
426684;564135;;;;;
426685;564136;;;;;
426686;564138;;;;;
426687;564139;;;;;
426688;564139;;;;;
426689;564141;;;;;
426690;564141;;;;;
426691;564141;;;;;
426692;564142;;;;;
426693;564142;;;;;
426694;564144;;;;;
426695;564144;;;;;
426696;564144;;;;;
426697;564146;;;;;
426698;564148;;;;;
426699;564148;;;;;
426700;564152;;;;;
426701;564153;;;;;
426702;564155;;;;;
426703;564157;;;;;
426704;564159;;;;;
426705;564160;;;;;
427357;560880;;;;;
427361;562294;;;;;
427362;562296;;;;;
427365;562300;;;;;
427366;562300;;;;;
427367;562302;;;;;
427368;562302;;;;;
427369;562302;;;;;
427370;562303;;;;;
427371;562304;;;;;
427372;562304;;;;;
427373;562304;;;;;
427374;562306;;;;;
427375;562308;;;;;
427376;562309;;;;;
427377;562309;;;;;
427378;562310;;;;;
427381;562314;;;;;
427384;562319;;;;;
427385;562319;;;;;
427386;562320;;;;;
427387;562320;;;;;
427388;562321;;;;;
427390;562323;;;;;
427391;562323;;;;;
427392;562325;;;;;
427393;562325;;;;;
427394;562326;;;;;
426059;559089;;;;;
426060;559090;;;;;
426061;559090;;;;;
426062;559091;;;;;
426082;562441;;;;;
426083;562442;;;;;
426084;562443;;;;;
426085;562444;;;;;
426086;562445;;;;;
426087;562446;;;;;
426088;562446;;;;;
426089;562447;;;;;
426425;558969;;;;;
426426;558970;;;;;
426427;558971;;;;;
426706;564160;;;;;
426707;564162;;;;;
426758;558764;;;;;
426759;558766;;;;;
426760;558767;;;;;
426761;558769;;;;;
426762;558769;;;;;
426766;558771;;;;;
426771;558776;;;;;
425799;558835;;;;;
425800;558835;;;;;
425801;558835;;;;;
425802;558836;;;;;
425803;558836;;;;;
425804;558836;;;;;
425805;558836;;;;;
425807;558838;;;;;
425811;558840;;;;;
425812;558840;;;;;
425813;558840;;;;;
425814;558840;;;;;
425815;558841;;;;;
425816;558841;;;;;
425817;558841;;;;;
425818;558841;;;;;
425819;558842;;;;;
425820;558842;;;;;
425821;558842;;;;;
425822;558842;;;;;
425825;558845;;;;;
425826;558845;;;;;
425827;558845;;;;;
425828;558845;;;;;
425829;558846;;;;;
425830;558846;;;;;
425831;558846;;;;;
425832;558846;;;;;
425833;558847;;;;;
425834;558848;;;;;
426428;558971;;;;;
426429;590236;;;;;
426430;590235;;;;;
426431;558974;;;;;
426432;558975;;;;;
426433;558977;;;;;
426434;558978;;;;;
426435;562366;;;;;
426436;562367;;;;;
426437;562368;;;;;
426439;562370;;;;;
426440;562370;;;;;
426459;564069;;;;;
426460;564069;;;;;
426461;564069;;;;;
426462;564070;;;;;
426463;564071;;;;;
426772;558778;;;;;
426773;558780;;;;;
426774;558781;;;;;
426775;558782;;;;;
426776;558782;;;;;
426777;558782;;;;;
426778;558783;;;;;
427748;560778;;;;;
427749;560779;;;;;
427750;560779;;;;;
427753;560781;;;;;
427754;560783;;;;;
427755;560784;;;;;
425835;558849;;;;;
425836;558850;;;;;
425837;558850;;;;;
425838;558850;;;;;
425839;558850;;;;;
425840;558851;;;;;
425841;558852;;;;;
425842;558852;;;;;
425843;558852;;;;;
425844;558852;;;;;
425846;558854;;;;;
425847;558855;;;;;
425849;559031;;;;;
425850;559033;;;;;
425851;559035;;;;;
425852;559036;;;;;
425496;558995;;;;;
425497;558996;;;;;
425503;559131;;;;;
425504;559131;;;;;
425508;559133;;;;;
425512;556242;;;;;
425513;556244;;;;;
425514;556246;;;;;
425515;556246;;;;;
425516;556247;;;;;
425517;556248;;;;;
425518;556249;;;;;
426475;564083;;;;;
426476;564083;;;;;
426477;564085;;;;;
426479;564087;;;;;
426480;564087;;;;;
426483;564090;;;;;
426484;564090;;;;;
426485;564090;;;;;
426486;564090;;;;;
426487;564092;;;;;
426488;564094;;;;;
426489;564095;;;;;
426492;564098;;;;;
427155;560839;;;;;
427156;560840;;;;;
427157;560840;;;;;
427158;560840;;;;;
427159;560840;;;;;
