WKT;ND_CODE;ND_CODEEXT;ND_NOM;ND_CODERAT;ND_R1_CODE;ND_R2_CODE;ND_R3_CODE;ND_R4_CODE;ND_VOIE;ND_TYPE;ND_TYPE_EP;ND_COMMENT;ND_DTCLASS;ND_GEOLQLT;ND_GEOLMOD;ND_GEOLSRC;ND_CREADAT;ND_MAJDATE;ND_MAJSRC;ND_ABDDATE;ND_ABDSRC
"POINT (648941.296673017 6855628.57559914)";"3462857";"3462857";POP MAIRIE DE BAGNEUX;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2007-02-15 00:00:00;;;;
"POINT (648891.287135793 6844667.69010156)";"3462865";"3462865";POP SANOFI CHILLY;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2006-05-12 00:00:00;;;;
"POINT (649091.571889456 6867224.33298536)";"3462868";"3462868";POP MAIRIE DE CLICHY;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2004-04-14 00:00:00;;;;
"POINT (649084.694657769 6857354.32577477)";"3462894";"3462894";POP MONTROUGE MATERNELLE HAUT MESNIL;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2005-11-17 00:00:00;;;;
"POINT (649131.433123662 6857445.87809399)";"3462906";"3462906";POP MONTROUGE EV/VOIRIE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2005-11-17 00:00:00;;;;
"POINT (649205.295582701 6857435.26429191)";"3462918";"3462918";POP MONTROUGE MATERNELLE AUGER;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2005-11-17 00:00:00;;;;
"POINT (649293.12917836 6867365.72584827)";"3462924";"3462924";POP SNCF PAYMAL (CLICHY);;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2008-02-14 00:00:00;;;;
"POINT (649196.452545171 6851637.2766233)";"3462928";"3462928";POP VEOLIA WATER DE GAULLE ANTONY;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2012-03-09 00:00:00;;;;
"POINT (649254.120187077 6857180.00879216)";"3462936";"3462936";POP MONTROUGE ANNEXE RENAUDEL;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2005-11-17 00:00:00;;;;
"POINT (649279.983976614 6857165.80021192)";"3462951";"3462951";POP MONTROUGE ECOLE RENAUDEL;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2005-11-17 00:00:00;;;;
"POINT (649363.081897653 6857486.38844881)";"3462972";"3462972";POP CLUB 14-17;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2008-08-06 00:00:00;;;;
"POINT (649420.767863586 6857627.33872926)";"3462983";"3462983";POP VIDEOSURVEILLANCE PELLETAN MONTROUGE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2008-07-01 00:00:00;;;;
"POINT (649437.293220075 6857691.16135331)";"3462987";"3462987";POP MONTROUGE ATELIERS MUNICIPAUX;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2005-11-29 00:00:00;;;;
"POINT (649476.344161476 6857343.04406035)";"3462998";"3462998";POP MONTROUGE STADE MUNICIPAL;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2005-11-17 00:00:00;;;;
"POINT (649490.305053105 6857696.71284122)";"3463002";"3463002";POP MONTROUGE GARAGE MUNICIPAL;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2005-08-03 00:00:00;;;;
"POINT (649488.741684518 6857034.126943)";"3463005";"3463005";POP MONTROUGE CRECHE MULIN;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2005-11-17 00:00:00;;;;
