cc_cb_code;cc_cd_code;cc_creadat;cc_majdate;cc_majsrc;cc_abddate;cc_abdsrc
45395623;474983;21/06/2024;;;;
4622104;461031;29/06/2011;;;;
6436705;508238;23/05/2013;;;;
8238354;432804;04/06/2014;;;;
4608983;465336;09/11/2004;;;;
4632348;436587;22/07/2009;;;;
4603677;437012;27/09/2004;;;;
7643457;8171903;20/12/2013;;;;
4615494;427949;13/10/2010;;;;
4631506;427949;24/07/2009;;;;
4613017;427206;09/08/2007;;;;
4603785;439447;09/10/2002;;;;
11115591;437321;21/11/2007;;;;
4632338;432919;15/12/2011;;;;
8678418;499321;13/10/2014;;;;
22107958;432298;02/02/2021;;;;
14942130;490011;31/05/2019;;;;
4614889;471692;11/06/2007;;;;
7953221;430854;17/03/2014;;;;
7259814;515841;04/09/2013;;;;
10939438;1289981;16/10/2013;;;;
5935891;456628;20/03/2013;;;;
4629438;507202;17/12/2008;;;;
4615479;436716;07/10/2010;;;;
28666659;;30/12/2021;;;;
31521702;468271;16/05/2022;;;;
4626127;751724;13/06/2012;;;;
4632339;1582135;15/12/2011;;;;
7166342;425904;31/07/2013;;;;
4599732;430408;29/04/2005;;;;
7728036;977988;21/01/2014;;;;
4633930;426682;03/10/2011;;;;
11097620;515846;24/03/2017;;;;
14842916;751721;20/05/2019;;;;
6702289;429873;17/06/2013;;;;
7465217;476091;04/11/2013;;;;
7057171;476091;16/07/2013;;;;
22790536;8175428;19/03/2021;;;;
11031074;3339590;11/12/2012;;;;
17201649;3640068;28/01/2020;;;;
4611147;437486;15/02/2007;;;;
4630889;496454;23/09/2009;;;;
22554049;9434295;03/03/2021;;;;
6645329;480895;11/06/2013;;;;
38676577;428485;31/05/2023;;;;
15518113;;07/08/2019;;;;
7356081;967117;03/10/2013;;;;
10965948;487361;27/02/2017;;;;
10939457;2140536;21/02/2017;;;;
4632363;455234;22/07/2009;;;;
4614081;469834;25/10/2007;;;;
4631454;427618;24/07/2009;;;;
17404853;9406147;14/02/2020;;;;
22082019;439477;30/01/2021;;;;
16518759;434810;19/11/2019;;;;
8803219;474814;19/11/2014;;;;
4610331;474814;20/04/2012;;;;
4637957;474814;02/12/2011;;;;
4612709;3640070;25/10/2007;;;;
7204417;461019;14/08/2013;;;;
32684897;497616;12/07/2022;;;;
12723412;463783;06/04/2018;;;;
16653171;9367102;02/12/2019;;;;
25240101;9367102;16/08/2021;;;;
44187937;438282;05/04/2024;;;;
15499554;;05/08/2019;;;;
7264246;8163904;05/09/2013;;;;
16653175;9373500;02/12/2019;;;;
4610944;472448;19/07/2006;;;;
15086136;461006;20/06/2019;;;;
4622119;3283898;29/06/2011;;;;
4641297;3283898;29/02/2012;;;;
23375473;9305340;29/04/2021;;;;
4603653;429648;21/09/2004;;;;
17810275;9415097;23/03/2020;;;;
34084900;9112070;28/09/2022;;;;
28552418;9425022;24/12/2021;;;;
42169378;9425022;07/12/2023;;;;
4607832;9453175;05/11/2004;;;;
16697634;9446470;05/12/2019;;;;
4601443;430858;23/07/2012;;;;
4609707;430858;01/02/2011;;;;
34629226;9340867;28/01/2022;;;;
8433878;984388;24/07/2014;;;;
4606379;437017;19/12/2011;;;;
4632110;9354630;17/07/2009;;;;
36352429;9254143;26/01/2023;;;;
36352426;9254143;26/01/2023;;;;
37022501;9254143;02/03/2023;;;;
4630016;427094;29/07/2009;;;;
4632117;427094;17/07/2009;;;;
4599731;439596;29/04/2005;;;;
4641596;434820;16/02/2012;;;;
4629896;436773;21/07/2009;;;;
8636451;435007;30/09/2014;;;;
22876277;;25/03/2021;;;;
22876278;;25/03/2021;;;;
29236901;;28/01/2022;;;;
19138608;;05/07/2020;;;;
4611398;763881;21/07/2009;;;;
4641142;509687;29/02/2012;;;;
4640937;489021;16/02/2012;;;;
19731594;509640;17/08/2020;;;;
12760018;1134146;16/04/2018;;;;
4607558;436770;17/07/2009;;;;
15480054;;02/08/2019;;;;
15505313;425649;06/08/2019;;;;
4620266;453029;24/03/2009;;;;
4602825;429578;15/09/2004;;;;
42123635;437037;06/12/2023;;;;
22088144;;02/02/2021;;;;
36586674;9446466;07/02/2023;;;;
5137826;791740;06/12/2012;;;;
35496099;;08/12/2022;;;;
5485332;491406;01/03/2005;;;;
4614895;;13/06/2007;;;;
33048740;9137662;03/08/2022;;;;
36726177;9446462;14/02/2023;;;;
25643970;9081021;08/09/2021;;;;
15583780;9528721;19/08/2019;;;;
15512993;9528721;07/08/2019;;;;
15491565;;05/08/2019;;;;
36538659;9243896;06/02/2023;;;;
36669542;9446469;10/02/2023;;;;
22608098;9430139;08/03/2021;;;;
22608097;9430139;08/03/2021;;;;
22560424;9430139;04/03/2021;;;;
42902180;9209667;18/01/2024;;;;
4639195;;20/06/2011;;;;
4621347;;08/03/2011;;;;
4612492;9389819;05/11/2007;;;;
22871161;9139588;25/03/2021;;;;
27533540;9226000;23/11/2021;;;;
4633315;487172;20/07/2009;;;;
4605626;494368;31/08/2004;;;;
4607061;444567;19/09/2006;;;;
7145505;488401;24/07/2013;;;;
