ps_code;ps_numero;ps_1;ps_2;ps_cs_code;ps_ti_code;ps_type;ps_fonct;ps_etat;ps_preaff;ps_comment;ps_creadat;ps_majdate;ps_majsrc;ps_abddate;ps_abdsrc
PS000000071035;4;FO000000092178;FO000000093306;1797518;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071036;5;FO000000092179;FO000000093307;1797518;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071037;6;FO000000092180;FO000000093308;1797518;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071038;7;FO000000092181;FO000000093309;1797518;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071039;8;FO000000092182;FO000000093310;1797518;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071040;9;FO000000092183;FO000000093311;1797518;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071041;10;FO000000092184;FO000000093312;1797518;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071042;11;FO000000092185;FO000000093313;1797518;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071043;12;FO000000092186;FO000000093314;1797518;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071044;1;FO000000092187;FO000000093315;1797519;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071045;2;FO000000092188;FO000000093316;1797519;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071046;3;FO000000092189;FO000000093317;1797519;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071047;4;FO000000092190;FO000000093318;1797519;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071048;5;FO000000092191;FO000000093319;1797519;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071049;6;FO000000092192;FO000000093320;1797519;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071050;7;FO000000092193;FO000000093321;1797519;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071051;8;FO000000092194;FO000000093322;1797519;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071052;9;FO000000092195;FO000000093323;1797519;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071053;10;FO000000092196;FO000000093324;1797519;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071054;11;FO000000092197;FO000000093325;1797519;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071055;12;FO000000092198;FO000000093326;1797519;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071056;1;FO000000092199;FO000000093327;1797520;;SFU;EP;;;;05/07/2023 00:00;;;;
